state,March 15,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,url
Idaho,5,5,8,9,11,23,36,42,68,81,91,146,205,234,281,340,515,566,776,891,1022,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/idaho-large.png
West Virginia,0,0,1,1,2,7,8,16,16,22,39,52,76,96,113,145,162,191,216,237,282,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/west-virginia-large.png
Pennsylvania,66,77,112,152,206,303,396,509,698,946,1260,1795,2345,2845,3432,4155,4963,6009,7268,8570,10444,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/pennsylvania-large.png
Mississippi,10,13,21,34,50,80,140,207,249,320,377,485,579,663,759,847,937,1073,1177,1358,1455,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/mississippi-large.png
New Jersey,98,178,267,267,742,890,1327,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-jersey-large.png
South Dakota,9,10,11,11,11,14,14,21,28,30,41,46,58,68,90,101,108,129,165,187,212,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/south-dakota-large.png
Illinois,93,105,161,162,422,585,753,1049,1285,1537,1865,2538,3024,3491,4596,5056,5994,6980,7695,8904,10357,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/illinois-large.png
Vermont,8,12,12,18,22,29,29,52,75,95,125,158,184,211,235,256,293,321,338,389,461,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/vermont-large.png
Florida,115,155,216,314,417,563,659,1004,1227,1412,1682,2357,2900,3763,4246,5473,6741,6956,9008,10268,11545,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/florida-large.png
Michigan,33,53,65,83,334,552,788,1035,1329,1793,2296,2845,3634,4650,5488,6498,7615,9315,10791,12744,14225,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/michigan-large.png
Texas,72,85,110,173,260,394,581,643,758,955,1229,1563,1937,2455,2792,3147,3809,4355,5069,5734,6556,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/texas-large.png
Oklahoma,7,10,19,19,44,49,53,67,81,106,164,248,322,377,429,481,568,721,881,990,1161,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/oklahoma-large.png
Ohio,37,50,67,86,119,173,248,356,443,567,704,868,1137,1406,1653,1933,2199,2547,2901,3312,3739,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/ohio-large.png
Wisconsin,32,47,72,92,159,207,282,381,425,481,621,728,926,1055,1164,1230,1412,1556,1748,2012,2030,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/wisconsin-large.png
Wyoming,3,3,11,15,18,19,23,26,26,29,44,53,70,82,86,94,109,130,150,162,187,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/wyoming-large.png
Nebraska,17,18,21,24,29,37,38,51,51,66,71,74,82,96,108,145,172,210,246,279,321,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/nebraska-large.png
Massachusetts,164,197,218,218,328,413,525,646,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/massachusetts-large.png
Delaware,7,8,16,19,30,38,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/delaware-large.png
Connecticut,24,30,68,68,159,194,194,327,415,618,875,1012,1291,1524,1993,2571,3128,3557,3824,4914,5276,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/connecticut-large.png
Kentucky,20,21,26,27,37,47,87,103,123,162,197,247,301,393,438,479,628,632,770,770,917,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/kentucky-large.png
Maine,12,17,32,42,52,56,70,89,107,118,142,155,168,211,253,275,303,303,376,432,456,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/maine-large.png
Tennessee,39,52,74,79,154,233,371,505,614,772,916,1097,1318,1511,1720,1917,2391,2933,2845,3067,3322,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/tennessee-large.png
Arizona,13,18,20,27,45,78,118,152,235,326,401,508,665,773,919,1157,1289,1530,1715,1937,2187,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/arizona-large.png
New Mexico,13,17,23,23,35,43,43,57,83,100,113,113,136,208,237,237,315,340,388,534,534,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-mexico-large.png
Utah,28,39,51,51,80,78,136,162,257,298,340,396,472,602,720,804,888,888,1092,1255,1435,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/utah-large.png
Colorado,131,160,160,184,277,363,390,591,704,723,1021,1430,1433,1740,2307,2311,2966,2982,3342,3742,4188,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/colorado-large.png
Montana,7,7,9,11,11,15,21,34,34,51,65,90,109,129,154,171,198,208,241,243,265,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/montana-large.png
Arkansas,16,22,22,33,62,96,122,165,192,219,280,335,381,409,426,473,523,584,643,704,743,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/arkansas-large.png
Iowa,18,23,23,29,44,45,68,90,105,124,146,179,235,298,336,424,497,547,614,699,787,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/iowa-large.png
Georgia,99,121,146,199,287,420,507,621,772,1026,1247,1525,2000,2366,2651,2808,3929,4638,5348,5831,6160,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/georgia-large.png
New Hampshire,13,17,26,26,44,44,55,74,101,101,108,137,158,187,214,314,357,367,316,479,540,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-hampshire-large.png
California,426,557,698,751,952,1177,1364,1646,2108,2538,2998,3899,4657,5095,5852,7138,8210,9399,10773,12004,12837,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/california-large.png
Nevada,24,45,56,55,95,114,161,190,245,278,323,420,536,626,920,1012,1114,1279,1463,1514,1742,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/nevada-large.png
Indiana,20,25,30,39,60,86,128,204,270,368,477,645,979,1233,1513,1786,2158,2564,3038,3437,3953,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/indiana-large.png
Virginia,45,49,67,77,99,122,156,220,254,293,396,466,607,740,890,1020,1249,1483,1706,2012,2407,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/virginia-large.png
Alabama,12,29,39,46,78,83,131,157,196,242,381,517,587,694,825,899,987,1060,1233,1495,1614,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/alabama-large.png
Maryland,32,41,60,85,107,149,193,244,290,349,425,583,775,995,1239,1413,1660,1986,2331,2758,3125,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/maryland-large.png
Missouri,5,6,11,18,31,53,74,87,187,257,354,520,666,836,915,1051,1357,1613,1857,1864,2310,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/missouri-large.png
South Carolina,28,33,47,47,81,126,171,196,298,342,424,424,542,660,774,925,1083,1293,1554,1700,1917,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/south-carolina-large.png
Louisiana,91,136,196,257,392,538,585,837,1172,1388,1795,2304,2744,3315,3540,4025,5237,6424,9159,10297,12496,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/louisiana-large.png
Minnesota,35,54,60,77,89,115,138,167,234,261,286,344,396,441,503,576,629,689,742,788,865,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/minnesota-large.png
Rhode Island,20,21,23,33,44,54,66,83,106,124,132,165,203,239,294,408,488,566,657,711,806,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/rhode-island-large.png
Washington,643,904,1076,1014,1376,1524,1793,1997,2221,2328,2591,3207,3477,4030,4465,4923,5432,5608,6389,6846,7247,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/washington-large.png
Hawaii,6,7,10,14,16,26,37,53,56,90,91,95,106,149,149,175,204,224,256,319,351,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/hawaii-large.png
North Dakota,1,1,3,6,18,19,28,28,30,36,45,51,68,94,98,109,122,142,159,173,186,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/north-dakota-large.png
North Carolina,33,38,64,70,123,172,253,305,353,495,590,738,887,1020,1191,1313,1535,1675,1977,2251,2486,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/north-carolina-large.png
New York,732,967,1706,2495,5365,8310,11710,15800,20884,25681,30841,37877,44876,52410,59648,66663,75833,83948,92506,102987,113833,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-york-large.png
Alaska,1,1,3,6,9,12,15,20,30,34,41,56,58,85,102,114,119,132,143,157,171,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/alaska-large.png
Kansas,8,11,18,18,34,44,57,65,84,100,134,172,206,266,330,372,434,485,553,629,698,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/kansas-large.png
Oregon,36,39,66,68,88,114,114,161,191,210,266,316,416,479,548,606,690,736,826,899,899,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/oregon-large.png
