state,url,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,July 01,July 02,July 03,July 04,July 05,July 06,July 07,July 08,July 09,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 01,August 02,August 03,August 04,August 05,August 06,August 07,August 08,August 09,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 01,September 02,September 03,September 04,September 05,September 06,September 07,September 08,September 09,September 10,September 11,September 12,September 13,September 14,September 15,September 16,September 17,September 18,September 19,September 20,September 21,September 22,September 23,September 24
Delaware,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/delaware-large.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036,2.072,5.179,6.215,6.215,10.358,11.393,12.429,14.501,14.501,14.501,15.536,16.572,19.679,23.822,33.144,34.18,36.251,42.466,44.537,47.645,56.967,63.181,69.396,69.396,74.574,84.932,92.182,95.289,103.576,116.005,124.291,129.469,141.898,149.149,157.435,164.685,174.007,183.329,188.507,193.686,199.901,209.223,220.616,228.902,228.902,233.045,245.474,255.832,269.296,280.69,296.226,300.369,307.619,314.87,321.084,328.334,333.513,333.513,337.656,343.871,346.978,356.3,357.336,368.729,373.908,379.086,381.158,386.337,388.408,399.802,401.873,403.945,412.231,412.231,424.66,427.767,428.803,428.803,433.981,437.089,438.124,439.16,441.232,446.411,448.482,449.518,450.554,450.554,522.021,523.056,525.128,525.128,525.128,525.128,525.128,527.199,527.199,528.235,530.307,530.307,530.307,530.307,532.378,533.414,535.485,535.485,535.485,535.485,535.485,536.521,539.629,539.629,539.629,541.7,541.7,541.7,543.772,545.843,547.915,598.667,599.702,599.702,599.702,600.738,601.774,601.774,605.917,605.917,605.917,605.917,607.988,607.988,607.988,609.024,611.096,612.131,612.131,612.131,613.167,614.203,614.203,614.203,614.203,614.203,614.203,616.274,616.274,621.453,621.453,621.453,625.596,624.56,625.596,625.596,625.596,625.596,625.596,626.632,626.632,627.668,627.668,627.668,629.739,630.775,630.775,630.775,630.775,634.918,634.918,634.918,636.99,639.061,640.097,641.133,641.133,642.168,643.204,643.204,649.419,650.454,651.49,652.526
Ohio,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/ohio-large.png,0.0,0.0,0.0,0.0,0.171,0.257,0.257,0.514,0.685,0.942,1.285,1.627,2.141,2.484,3.426,4.71,5.567,6.937,7.794,8.736,10.192,12.161,14.302,16.529,18.242,19.784,21.154,21.668,23.466,27.748,31.003,34.857,35.799,38.625,40.338,43.592,47.703,52.242,56.182,59.094,60.892,62.348,64.489,68.429,80.248,83.588,85.9,87.527,88.983,90.525,97.205,104.913,108.853,111.85,113.991,114.848,116.218,122.984,127.009,131.377,135.402,137.886,139.17,141.911,147.306,152.531,157.327,160.324,167.518,168.632,170.173,171.458,175.055,179.68,182.506,184.047,184.561,189.015,193.468,196.98,200.405,201.861,203.146,203.745,206.058,207.514,210.597,213.423,214.965,218.904,219.161,220.531,222.587,223.615,225.499,228.411,230.98,231.237,231.579,234.234,235.947,237.403,238.773,240.144,240.401,241.343,245.197,246.31,246.31,248.622,248.965,249.308,250.678,254.361,256.159,257.444,259.67,260.013,261.897,262.411,262.839,263.353,265.751,266.522,268.235,271.832,273.116,275.686,277.056,278.854,282.366,282.366,283.222,286.391,289.646,293.071,294.784,298.809,301.036,302.235,303.092,305.746,307.973,309.857,312.769,314.14,314.225,314.568,317.565,319.792,321.59,324.074,327.5,327.671,328.185,331.097,334.608,336.492,338.719,340.432,340.689,341.374,342.23,346.341,349.082,351.566,364.155,353.621,354.477,356.79,357.646,361.928,363.813,364.498,364.755,366.211,368.095,370.321,372.891,377.087,377.772,378.115,378.458,385.909,390.105,392.246,394.644,394.987,395.244,395.929,396.957,401.41,403.808
Maryland,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/maryland-large.png,0.0,0.0,0.0,0.166,0.166,0.331,0.497,0.497,0.663,0.663,0.663,0.828,0.828,1.657,2.485,2.982,5.136,5.964,7.124,8.947,11.1,15.077,17.065,20.544,22.864,28.331,34.13,39.1,43.408,50.035,51.526,52.851,55.336,69.75,76.378,96.425,108.022,115.643,123.927,132.211,144.968,150.767,156.566,168.329,178.601,188.873,178.932,207.263,212.234,218.198,230.293,238.079,249.014,258.458,267.404,272.375,278.836,290.931,299.712,309.155,316.611,324.232,330.031,335.167,344.776,351.735,357.699,365.651,371.616,377.249,381.391,386.527,396.302,402.266,408.562,415.686,419.497,422.81,430.266,437.556,442.029,447.662,453.958,455.449,459.922,465.721,471.188,476.324,480.466,484.774,486.928,488.253,494.052,496.371,499.685,502.005,505.649,507.969,509.294,512.277,514.927,518.407,520.56,523.046,524.868,526.028,528.513,530.998,532.158,533.98,536.134,537.294,537.791,541.105,542.596,544.749,547.235,548.394,549.885,550.88,552.371,553.53,554.524,556.513,558.004,559.495,560.323,563.637,564.134,564.797,566.95,568.773,569.933,571.092,572.915,576.228,577.885,578.713,580.867,582.358,583.684,584.844,585.838,588.323,590.642,592.63,593.956,594.95,597.104,598.429,599.755,601.577,602.405,602.902,603.234,604.725,606.547,607.873,608.701,610.524,611.518,612.015,614.169,615.825,616.654,617.482,620.63,621.624,622.121,623.115,623.944,625.932,627.754,628.914,629.411,630.239,630.736,632.227,633.553,634.216,635.541,635.872,636.038,637.695,638.689,639.683,641.008,642.168,642.665,643.328,645.316,646.476,647.636
Arizona,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/arizona-large.png,0.0,0.0,0.0,0.0,0.0,0.14,0.279,0.279,0.699,0.838,1.118,1.816,2.096,2.375,2.794,3.353,4.051,4.471,5.728,7.265,8.941,9.081,10.198,11.176,12.434,13.551,15.088,16.066,17.044,18.301,19.838,20.956,23.61,25.147,25.705,26.683,29.058,32.271,34.786,37.161,38.139,38.418,38.418,38.418,43.029,44.705,46.102,46.102,50.573,50.573,55.183,59.514,62.867,72.227,74.322,74.881,75.719,78.513,83.123,87.175,90.947,94.859,94.998,95.976,98.491,104.358,106.733,108.27,111.902,111.902,112.741,113.16,116.513,120.145,123.777,126.292,126.711,128.248,131.74,137.328,139.564,141.799,145.711,146.828,147.108,150.321,153.813,158.563,161.497,166.107,166.387,168.063,171.556,174.489,179.239,184.548,188.041,188.46,188.739,195.026,204.945,208.857,214.584,220.731,222.687,223.246,229.812,240.988,246.437,251.187,253.841,254.959,255.517,269.208,274.238,284.715,290.862,300.502,312.516,313.774,326.487,340.038,348.141,360.854,381.39,385.721,388.934,407.654,415.478,427.911,439.088,459.065,461.72,461.58,476.109,482.535,506.564,516.064,523.468,525.983,527.939,537.159,549.314,559.093,570.129,577.953,579.769,580.328,586.614,607.291,612.32,617.908,627.547,629.503,629.503,632.717,647.385,654.371,654.929,664.429,666.525,666.525,669.458,683.988,688.598,695.443,699.495,702.708,702.568,704.664,707.598,716.678,722.406,727.435,729.391,729.112,729.391,733.582,736.656,738.751,742.523,743.501,743.501,746.575,750.347,755.655,761.523,763.758,765.155,765.295,768.089,771.861,776.611
Oregon,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/oregon-large.png,0.239,0.239,0.478,0.717,0.717,1.196,1.196,1.196,1.913,2.391,2.63,2.87,3.109,3.109,3.826,4.304,4.543,5.022,5.261,5.261,6.456,6.456,6.935,7.891,10.522,10.522,11.478,12.435,12.674,13.152,13.869,15.304,16.739,17.217,17.695,17.934,18.652,18.652,19.848,20.565,20.804,22.0,22.0,23.674,24.152,24.63,24.869,26.065,26.065,26.065,27.021,27.5,28.934,29.652,30.369,30.369,31.086,31.086,32.043,32.76,32.76,32.76,32.76,32.999,33.478,34.434,34.673,35.152,35.152,35.391,35.391,35.391,35.391,36.108,36.108,36.586,36.586,36.825,37.543,38.021,38.021,38.499,38.499,38.978,39.217,40.412,40.412,40.891,41.369,41.369,41.369,43.043,43.521,43.76,44.717,44.956,44.956,44.956,45.912,45.912,46.63,47.108,48.304,48.304,48.304,48.782,49.499,49.738,49.977,49.977,50.934,51.412,51.412,52.608,53.564,54.999,55.477,55.477,55.956,56.673,58.347,59.064,59.543,60.738,61.456,62.173,62.651,64.325,64.803,65.282,67.434,67.434,69.108,69.108,72.455,74.368,75.564,76.999,77.716,77.955,78.434,79.629,80.825,81.064,83.216,84.89,85.129,85.368,87.999,89.672,91.585,92.064,92.303,92.781,92.781,94.933,97.564,98.52,98.998,99.716,99.716,100.433,102.346,103.542,104.737,106.89,108.563,109.52,109.759,110.955,111.911,112.389,113.585,114.781,115.02,115.259,116.216,118.129,118.846,119.324,120.759,121.715,121.715,124.107,124.585,124.585,124.585,125.541,125.781,126.498,127.215,128.65,128.889
Montana,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/montana-large.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.943,0.943,4.714,4.714,5.657,5.657,4.714,5.657,5.657,5.657,5.657,5.657,5.657,5.657,5.657,5.657,6.6,6.6,6.6,6.6,7.542,9.428,9.428,9.428,11.314,13.199,13.199,13.199,13.199,13.199,13.199,14.142,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,15.085,16.028,16.028,16.028,16.028,16.028,16.028,16.028,16.028,16.028,16.028,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.97,17.913,17.913,17.913,18.856,18.856,18.856,18.856,18.856,19.799,19.799,19.799,19.799,20.742,20.742,20.742,20.742,20.742,20.742,20.742,21.685,21.685,21.685,21.685,21.685,21.685,23.57,26.399,27.341,27.341,30.17,32.055,32.055,32.998,34.884,34.884,34.884,36.769,37.712,39.598,40.541,43.369,43.369,43.369,44.312,48.083,50.911,51.854,56.568,57.511,57.511,60.34,60.34,61.282,61.282,65.996,70.71,70.71,70.71,72.596,75.424,76.367,76.367,77.31,77.31,77.31,79.196,79.196,83.91,83.91,84.852,84.852,85.795,91.452,92.395,92.395,94.28,98.052,98.052,98.052,98.994,102.766,104.651,107.48,109.365,110.308,111.251,112.194,115.022,115.965,123.507,125.393,127.279,130.107,131.993,132.935,134.821,137.649,147.078,148.02,150.849,153.677,155.563,155.563
Tennessee,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/tennessee-large.png,0.0,0.0,0.0,0.0,0.0,0.148,0.295,0.295,0.295,0.443,0.443,0.886,1.034,1.181,2.067,3.397,3.544,5.316,6.055,7.384,7.827,9.599,10.633,11.814,13.881,14.472,15.654,15.654,16.097,18.312,18.312,20.084,20.822,20.97,21.856,22.447,23.185,23.185,25.252,24.957,26.138,26.729,27.172,27.763,28.797,29.387,30.126,30.864,31.012,32.341,33.375,35.294,35.147,35.737,35.737,35.885,37.066,39.282,40.315,42.383,42.826,43.564,44.007,44.45,45.041,45.041,46.222,46.518,48.585,49.619,49.914,50.652,52.129,52.572,53.311,53.754,53.754,53.754,56.264,57.298,59.218,60.251,61.58,61.728,62.171,64.239,64.534,65.125,68.817,69.703,69.998,71.179,72.804,73.542,75.019,76.053,77.382,77.677,78.415,80.04,82.107,83.732,85.208,86.242,86.242,87.424,89.196,89.934,91.558,93.478,94.069,95.25,96.284,98.204,101.157,104.849,106.769,108.984,109.427,110.609,113.267,115.629,117.549,120.355,123.752,124.49,125.081,128.625,131.135,136.599,138.519,142.359,142.802,144.426,147.527,150.628,152.548,156.535,157.569,158.455,161.261,164.953,168.94,175.142,178.096,179.425,180.606,182.083,187.695,190.353,193.897,195.817,198.623,201.724,204.825,210.289,214.424,219.74,228.748,230.816,231.407,234.508,240.415,243.368,247.06,251.195,254.739,257.988,259.022,263.009,265.372,268.03,271.279,274.971,275.414,276.004,279.992,285.16,293.578,299.042,304.801,306.868,309.674,314.105,317.649,319.569,324.294,327.248,327.543,329.758,333.893,336.256,341.424
Alabama,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/alabama-large.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.205,0.818,0.818,2.046,2.046,4.706,5.524,6.547,7.775,9.002,9.207,10.025,13.094,13.503,14.322,16.368,18.823,19.027,20.255,23.324,24.142,27.211,30.28,31.303,32.122,33.349,37.441,40.101,41.328,42.761,42.761,44.807,46.648,49.512,52.377,55.65,59.128,58.924,59.333,60.97,64.448,70.176,75.496,78.36,79.792,80.406,82.452,88.999,92.068,96.774,98.82,99.229,99.843,100.047,103.116,106.799,108.231,110.686,112.323,112.732,115.801,118.666,119.279,120.916,124.804,126.44,128.895,132.169,133.601,133.601,133.601,138.307,140.967,141.58,146.9,149.15,152.219,154.47,157.334,158.153,158.153,158.357,160.608,161.631,165.723,168.178,171.451,171.656,172.065,176.771,182.295,183.318,185.569,188.024,188.024,190.07,194.366,198.867,201.527,205.824,206.028,206.028,206.028,211.348,216.463,218.509,225.874,227.92,229.352,229.966,238.15,247.766,251.653,258.814,263.11,263.315,264.133,266.589,279.069,285.821,294.209,297.892,301.37,305.053,305.053,314.669,320.193,323.262,327.967,332.878,334.105,340.857,346.79,350.678,354.974,359.066,361.726,367.659,377.889,385.05,386.686,387.3,387.914,388.323,393.847,396.098,397.735,403.873,408.374,411.443,411.852,414.102,416.762,418.399,424.741,431.084,440.291,442.337,446.428,450.111,453.589,456.863,463.615,465.456,465.661,465.661,465.865,467.502,470.775,477.322,480.801,481.005,481.824,488.371,489.394,491.235,496.759,498.6,498.6,499.01,502.692,509.035,512.718
Indiana,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/indiana-large.png,0.149,0.299,0.299,0.299,0.299,0.597,0.896,1.045,1.792,2.091,2.539,3.734,4.63,4.779,5.227,7.318,9.708,11.65,15.234,17.325,18.968,21.358,25.838,30.319,36.592,44.806,49.287,51.228,52.274,57.8,65.118,71.242,77.963,81.398,83.937,86.177,94.84,99.47,105.444,110.671,117.392,121.425,126.055,134.568,143.977,166.38,175.491,166.53,169.069,171.907,180.868,205.661,211.187,216.115,222.538,225.226,230.005,235.681,241.804,245.837,252.558,260.026,261.519,263.61,272.422,278.396,285.714,289.896,293.331,295.124,296.319,299.306,303.189,308.864,315.137,317.377,318.722,320.066,328.131,329.625,333.209,337.242,342.32,343.963,345.904,349.339,351.729,355.463,357.852,360.391,361.736,363.379,365.47,369.651,372.041,375.775,378.762,379.359,381.301,383.691,385.035,386.23,387.574,390.71,391.158,391.905,394.295,395.788,397.581,400.418,401.314,402.211,402.957,405.795,408.035,409.081,410.425,411.62,412.217,412.516,414.458,415.951,417.445,418.64,421.179,421.477,421.925,425.062,427.601,430.14,430.737,432.38,433.575,434.023,436.711,437.906,439.997,442.835,443.731,444.328,445.075,447.465,449.108,450.004,451.497,453.439,454.186,454.634,458.368,460.907,463.745,464.939,467.18,467.926,468.225,472.706,474.946,476.589,479.128,480.622,480.92,481.667,484.057,486.745,487.791,489.433,490.628,491.524,492.271,494.661,496.602,497.648,500.336,502.129,502.427,503.025,504.817,507.356,509.298,510.791,513.33,513.479,513.629,516.765,518.557,519.454,521.993,523.187,523.636,524.532,525.726,527.22,529.908
Connecticut,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/connecticut-large.png,0.0,0.0,0.0,0.56,0.84,1.12,2.24,2.8,3.36,5.32,5.88,7.56,9.24,9.52,10.08,19.32,23.799,31.359,36.679,46.199,52.919,57.679,77.558,91.278,106.397,125.437,138.316,155.116,168.556,187.875,243.034,271.873,290.073,304.072,315.552,372.67,398.43,432.309,458.908,494.747,522.187,538.706,563.346,584.345,607.304,631.944,654.903,682.063,682.063,715.662,737.221,761.021,783.14,804.699,820.939,830.739,842.218,851.458,874.978,901.297,919.776,934.896,954.216,965.975,972.135,988.095,1003.214,1018.334,1028.974,1034.014,1047.733,1055.293,1064.813,1071.253,1083.012,1095.332,1104.292,1111.572,1112.132,1116.891,1121.931,1130.611,1135.371,1139.851,1143.491,1147.131,1153.57,1160.85,1164.49,1172.05,1176.25,1177.09,1178.77,1181.29,1183.25,1186.61,1190.25,1192.769,1193.609,1197.529,1200.329,1203.409,1205.929,1207.049,1208.449,1209.569,1210.129,1210.689,1211.249,1213.769,1213.769,1213.769,1214.609,1214.609,1216.009,1217.409,1217.409,1217.409,1217.409,1223.849,1224.129,1226.369,1228.889,1230.848,1230.848,1230.848,1233.648,1233.648,1233.648,1234.768,1235.608,1235.608,1235.608,1237.008,1238.408,1238.968,1240.648,1240.928,1240.928,1240.928,1242.328,1242.328,1242.328,1242.328,1243.448,1243.448,1243.448,1244.288,1244.288,1245.968,1245.968,1246.808,1246.808,1246.808,1247.648,1247.648,1247.928,1248.208,1248.768,1248.768,1248.768,1248.768,1249.608,1249.608,1250.168,1250.168,1250.168,1250.168,1250.168,1250.448,1250.728,1251.008,1251.008,1251.008,1251.008,1251.008,1252.688,1252.688,1253.808,1254.368,1254.368,1254.368,1255.768,1255.768,1256.328,1256.608,1257.728,1257.728,1257.728,1258.568,1258.848,1259.128,1259.688
Mississippi,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/mississippi-large.png,0.0,0.0,0.0,0.335,0.335,0.335,0.335,0.335,0.335,1.006,2.013,2.684,4.361,4.696,5.367,6.709,7.38,8.722,9.728,11.741,14.425,17.108,20.127,22.476,25.495,27.507,31.197,32.204,32.875,37.236,40.926,43.274,46.964,50.989,53.337,56.692,61.388,64.743,67.427,70.11,74.136,76.148,76.819,80.174,83.864,87.554,94.263,97.618,101.643,103.991,114.726,125.46,132.84,137.201,141.227,144.246,145.923,153.303,155.987,161.019,165.38,171.082,174.772,176.785,185.842,191.21,194.564,199.596,206.641,209.66,213.014,218.717,224.755,232.471,238.174,242.534,246.224,247.902,257.294,262.326,266.352,269.371,272.055,274.067,280.776,284.131,291.176,291.176,295.536,298.22,298.891,300.233,306.942,314.657,314.657,314.657,314.657,314.657,328.076,331.766,339.146,340.823,342.836,347.197,348.538,355.248,359.944,362.963,366.318,370.008,371.349,372.691,373.698,388.458,398.521,403.889,407.579,412.61,418.984,419.32,426.7,432.738,438.776,446.827,451.523,454.542,455.549,465.948,477.353,481.714,490.772,495.803,500.835,502.513,516.602,524.317,540.419,557.863,567.926,571.281,573.965,588.054,605.162,612.207,619.922,628.644,636.024,641.391,652.126,667.221,674.601,685.336,697.748,699.09,702.78,713.514,725.591,734.648,742.699,750.414,751.421,754.104,776.58,796.036,804.758,809.454,814.151,818.847,829.582,836.291,847.361,850.716,858.096,861.786,866.817,867.153,867.153,879.9,890.97,895.667,900.698,904.724,907.743,917.136,924.516,932.567,936.592,942.295,942.63,942.63,954.707,962.758,964.1
